"Function","Inferred responsibility","Evidence","Confidence"
"FUN_00445a86","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00445a86 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __thiscall, parameter count 3, and return type undefined.","Medium"
"FUN_00445bf2","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00445bf2 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __fastcall, parameter count 1, and return type undefined4.","Medium"
"___crtGetEnvironmentStringsA","Named Visual C++ runtime/library helper: ___crtGetEnvironmentStringsA.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00445c94, calling convention __cdecl, parameter count 0, and return type LPVOID. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00445db6","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00445db6 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"___crtMessageBoxA","Named Visual C++ runtime/library helper: ___crtMessageBoxA.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00445e3e, calling convention __cdecl, parameter count 3, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00445ffd","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00445ffd is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 1, and return type undefined.","Medium"
"__set_osfhnd","Named Visual C++ runtime/library helper: __set_osfhnd.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00446018, calling convention __cdecl, parameter count 2, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__free_osfhnd","Named Visual C++ runtime/library helper: __free_osfhnd.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00446094, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__get_osfhandle","Named Visual C++ runtime/library helper: __get_osfhandle.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00446113, calling convention __cdecl, parameter count 1, and return type intptr_t. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00446154","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00446154 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 1, and return type undefined4.","Medium"
"__unlock_fhandle","Named Visual C++ runtime/library helper: __unlock_fhandle.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004461c7, calling convention __cdecl, parameter count 1, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_004461e9","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 004461e9 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type uint.","Medium"
"__commit","Named Visual C++ runtime/library helper: __commit.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00446336, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_004463d6","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 004463d6 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"__fcloseall","Named Visual C++ runtime/library helper: __fcloseall.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004463f2, calling convention __cdecl, parameter count 0, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00446484","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00446484 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"__isatty","Named Visual C++ runtime/library helper: __isatty.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0044648d, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___wctomb_mt","Named Visual C++ runtime/library helper: ___wctomb_mt.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004464b7, calling convention __cdecl, parameter count 3, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_wctomb","Named Visual C++ runtime/library helper: _wctomb.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00446517, calling convention __cdecl, parameter count 2, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__aulldvrm","Named Visual C++ runtime/library helper: __aulldvrm.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00446540, calling convention __stdcall, parameter count 4, and return type undefined8. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_004465d5","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 004465d5 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __thiscall, parameter count 6, and return type uint.","Medium"
"__sopen","Named Visual C++ runtime/library helper: __sopen.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004468bc, calling convention __cdecl, parameter count 3, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00446901","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00446901 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"___crtInitCritSecNoSpinCount@8","Named Visual C++ runtime/library helper: ___crtInitCritSecNoSpinCount@8.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00446911, calling convention __stdcall, parameter count 1, and return type undefined4. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___crtInitCritSecAndSpinCount","Named Visual C++ runtime/library helper: ___crtInitCritSecAndSpinCount.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00446921, calling convention __cdecl, parameter count 2, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_memmove","Named Visual C++ runtime/library helper: _memmove.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004469b0, calling convention __cdecl, parameter count 3, and return type void *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___free_lc_time","Named Visual C++ runtime/library helper: ___free_lc_time.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00446ced, calling convention __cdecl, parameter count 1, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___free_lconv_num","Named Visual C++ runtime/library helper: ___free_lconv_num.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00446e7d, calling convention __cdecl, parameter count 1, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___free_lconv_mon","Named Visual C++ runtime/library helper: ___free_lconv_mon.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00446edc, calling convention __cdecl, parameter count 1, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_strcspn","Named Visual C++ runtime/library helper: _strcspn.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00446fc0, calling convention __cdecl, parameter count 2, and return type size_t. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___crtGetStringTypeA","Named Visual C++ runtime/library helper: ___crtGetStringTypeA.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004470c8, calling convention __cdecl, parameter count 7, and return type BOOL. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_strpbrk","Named Visual C++ runtime/library helper: _strpbrk.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447290, calling convention __cdecl, parameter count 2, and return type char *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_004472d0","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 004472d0 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined4.","Medium"
"setSBCS","Named Visual C++ runtime/library helper: setSBCS.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004472ff, calling convention __cdecl, parameter count 0, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00447328","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00447328 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"___updatetmbcinfo","Named Visual C++ runtime/library helper: ___updatetmbcinfo.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004474ba, calling convention __cdecl, parameter count 0, and return type pthreadmbcinfo. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00447520","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00447520 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"FUN_00447529","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00447529 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 1, and return type undefined4.","Medium"
"__setmbcp","Named Visual C++ runtime/library helper: __setmbcp.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004476bf, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00447806","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00447806 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"___initmbctable","Named Visual C++ runtime/library helper: ___initmbctable.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0044780f, calling convention __stdcall, parameter count 0, and return type undefined4. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__getbuf","Named Visual C++ runtime/library helper: __getbuf.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0044782d, calling convention __cdecl, parameter count 1, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__ZeroTail","Named Visual C++ runtime/library helper: __ZeroTail.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447871, calling convention __cdecl, parameter count 2, and return type undefined4. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__IncMan","Named Visual C++ runtime/library helper: __IncMan.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004478a3, calling convention __cdecl, parameter count 2, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__RoundMan","Named Visual C++ runtime/library helper: __RoundMan.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004478f0, calling convention __cdecl, parameter count 2, and return type undefined4. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__CopyMan","Named Visual C++ runtime/library helper: __CopyMan.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447962, calling convention __cdecl, parameter count 2, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__IsZeroMan","Named Visual C++ runtime/library helper: __IsZeroMan.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0044797d, calling convention __cdecl, parameter count 1, and return type undefined4. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__ShrMan","Named Visual C++ runtime/library helper: __ShrMan.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447996, calling convention __cdecl, parameter count 2, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__ld12cvt","Named Visual C++ runtime/library helper: __ld12cvt.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447a11, calling convention __cdecl, parameter count 3, and return type undefined4. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FID_conflict:__ld12tod","Named Visual C++ runtime/library helper: FID_conflict:__ld12tod.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447b7f, calling convention __cdecl, parameter count 2, and return type INTRNCVT_STATUS. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FID_conflict:__ld12tod","Named Visual C++ runtime/library helper: FID_conflict:__ld12tod.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447b7f, calling convention __cdecl, parameter count 2, and return type INTRNCVT_STATUS. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00447b95","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00447b95 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 2, and return type undefined.","Medium"
"FUN_00447bd8","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00447bd8 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 2, and return type undefined.","Medium"
"FUN_00447c1b","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00447c1b is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 3, and return type undefined.","Medium"
"___dtold","Named Visual C++ runtime/library helper: ___dtold.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447c92, calling convention __cdecl, parameter count 2, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00447d4c","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00447d4c is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 4, and return type int *.","Medium"
"FUN_00447dbe","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00447dbe is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"__abstract_cw","Named Visual C++ runtime/library helper: __abstract_cw.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447dc7, calling convention __stdcall, parameter count 0, and return type uint. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__hw_cw","Named Visual C++ runtime/library helper: __hw_cw.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447e59, calling convention __stdcall, parameter count 0, and return type uint. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__control87","Named Visual C++ runtime/library helper: __control87.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447ee7, calling convention __cdecl, parameter count 2, and return type uint. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__controlfp","Named Visual C++ runtime/library helper: __controlfp.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447f19, calling convention __cdecl, parameter count 2, and return type uint. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00447f2f","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00447f2f is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 1, and return type int.","Medium"
"FUN_00447f88","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00447f88 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"FID_conflict:_ValidateRead","Named Visual C++ runtime/library helper: FID_conflict:_ValidateRead.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447fb1, calling convention __cdecl, parameter count 2, and return type bool. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FID_conflict:_ValidateRead","Named Visual C++ runtime/library helper: FID_conflict:_ValidateRead.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447fb1, calling convention __cdecl, parameter count 2, and return type bool. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_ValidateExecute","Named Visual C++ runtime/library helper: _ValidateExecute.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447fcd, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_abort","Named Visual C++ runtime/library helper: _abort.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447fe5, calling convention __cdecl, parameter count 0, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__lseeki64_lk","Named Visual C++ runtime/library helper: __lseeki64_lk.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00447ffd, calling convention __cdecl, parameter count 4, and return type undefined8. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__lseeki64","Named Visual C++ runtime/library helper: __lseeki64.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00448080, calling convention __cdecl, parameter count 3, and return type longlong. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00448118","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00448118 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"FID_conflict:__getenv_lk","Named Visual C++ runtime/library helper: FID_conflict:__getenv_lk.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 0044813e, calling convention __cdecl, parameter count 1, and return type char *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_004481bf","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 004481bf is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 1, and return type long.","Medium"
"FUN_00448208","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00448208 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 6, and return type LPSTR.","Medium"
"FUN_004483d7","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 004483d7 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type BOOL.","Medium"
"FUN_004484a8","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 004484a8 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 3, and return type undefined4.","Medium"
"FUN_004484d9","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 004484d9 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 1, and return type undefined.","Medium"
"FUN_004484ea","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 004484ea is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 2, and return type int.","Medium"
"___addl","Named Visual C++ runtime/library helper: ___addl.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00448625, calling convention __cdecl, parameter count 3, and return type undefined4. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___add_12","Named Visual C++ runtime/library helper: ___add_12.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00448646, calling convention __cdecl, parameter count 2, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___shl_12","Named Visual C++ runtime/library helper: ___shl_12.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004486a4, calling convention __cdecl, parameter count 1, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___shr_12","Named Visual C++ runtime/library helper: ___shr_12.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004486d2, calling convention __cdecl, parameter count 1, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_004486ff","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 004486ff is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 3, and return type undefined.","Medium"
"FUN_004487e3","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 004487e3 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 7, and return type undefined4.","Medium"
"FUN_00448c1d","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00448c1d is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 6, and return type undefined4.","Medium"
"siglookup","Named Visual C++ runtime/library helper: siglookup.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00448eb1, calling convention __cdecl, parameter count 0, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"_raise","Named Visual C++ runtime/library helper: _raise.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00448edf, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
